City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,esperance,-33.8667,121.9,16.18,56,100,3.71,AU,1681822935
332,pampa,35.5362,-100.9599,16.53,77,0,4.12,US,1681822935
333,wajid,3.8093,43.2471,32.28,43,91,2.08,SO,1681822936
334,vila,42.0304,-8.1588,21.5,32,56,1.57,PT,1681822937
335,chunskiy,56.0815,99.6342,-5.82,57,100,5.21,RU,1681822938
336,isangel,-19.55,169.2667,26.85,83,67,6.98,VU,1681822938
337,virginia beach,36.8529,-75.978,15.02,67,0,3.09,US,1681822121
338,puerto del rosario,28.5004,-13.8627,22.86,53,75,5.66,ES,1681822680
339,bagdarin,54.4333,113.6,-6.5,86,82,0.94,RU,1681822940
340,kamaishi,39.2667,141.8833,9.0,91,100,2.53,JP,1681822941
341,khakurinokhabl,45.0201,40.2291,20.33,57,100,3.9,RU,1681822942
342,korla,41.7597,86.1469,16.08,21,100,10.77,CN,1681822943
343,honningsvag,70.9821,25.9704,5.86,65,75,5.14,NO,1681822943
344,manta,-0.95,-80.7333,24.88,94,75,1.54,EC,1681822839
345,camana,-16.6228,-72.7111,22.03,75,100,3.62,PE,1681822944
346,saint anthony,45.0205,-93.218,2.75,83,0,1.54,US,1681822372
347,acapulco,16.8634,-99.8901,24.9,78,40,1.54,MX,1681822946
348,kaitangata,-46.2817,169.8464,11.81,90,99,2.43,NZ,1681822946
349,cravo norte,6.3017,-70.2041,28.27,65,99,2.59,CO,1681822947
350,bulgan,48.8125,103.5347,10.3,24,100,7.92,MN,1681822947
351,berdigestyakh,62.0989,126.6992,-8.15,97,100,1.76,RU,1681822948
352,apatity,67.5641,33.4031,2.85,94,93,2.61,RU,1681822949
353,riyadh,24.6877,46.7219,30.08,30,0,1.73,SA,1681822408
354,goderich,43.7501,-81.7165,2.73,69,100,7.72,CA,1681822950
355,davila,18.4726,120.5763,28.99,78,0,1.51,PH,1681822950
356,pinhao,-25.6956,-51.6597,16.73,99,100,1.79,BR,1681822951
357,vaasa,63.096,21.6158,9.01,49,0,6.17,FI,1681822952
358,khasan,42.4308,130.6434,9.02,44,0,4.01,RU,1681822952
359,new amsterdam,6.25,-57.5167,27.13,67,100,2.47,GY,1681822953
360,kijang,35.2442,129.2139,18.85,94,91,3.18,KR,1681822953
361,oktyabrskiy,54.4815,53.471,14.73,31,100,5.2,RU,1681822954
362,persianovskiy,47.5137,40.1075,16.29,51,20,11.0,RU,1681822955
363,ambon,-3.6954,128.1814,26.08,94,40,2.57,ID,1681822874
